stockSymbol,currentPrice,earningsGrowth,ebitda,ebitdaMargins,grossMargins,grossProfits,current_ratio,debt_to_eqr,ROA,ROE,net_profit_margin,revenueGrowth,operatingCashflow,operatingMargins,profitMargins,quickRatio,revenuePerShare,totalCash,totalCashPerShare,totalDebt,totalRevenue,operatingMargins
TITAN.NS,1457.45,0.631,17250000896,0.0797,0.24164,52300000000,1.711,75.06,0.056199998,0.13742,0.044949997,0.591,41389998080,0.062329996,0.044949997,0.509,243.801,35619999744,40.167,56310001664,216439996416,0.062329996
BHARTIARTL.NS,551.85,0,402001002496,0.39835,0.54551,462925000000,0.455,203.206,0.02884,-0.3241,-0.20888,0.227,277531983872,0.15679,-0.20888,0.336,185.491,330077011968,60.71,1581780041728,1009174970368,0.15679
TECHM.NS,951.05,0.342,68470001664,0.18087,0.35883,135835000000,2.457,11.368,0.08745,0.18347,0.116969995,0.025,80938000384,0.14237,0.116969995,2.17,432.923,158252007424,181.022,28697999360,378551009280,0.14237
TINPLATE.NS,210.45,1.073,2013287936,0.08825,0.22071,5035165000,1.906,1.582,0.06837,0.122159995,0.04302,0.588,2524823040,0.06122,0.04302,0.968,218.028,2936254976,28.078,133831000,22813677568,0.06122
TITAN.NS,1457.3,0.631,17250000896,0.0797,0.24164,52300000000,1.711,75.06,0.056199998,0.13742,0.044949997,0.591,41389998080,0.062329996,0.044949997,0.509,243.801,35619999744,40.167,56310001664,216439996416,0.062329996
HDFCLIFE.NS,665.95,0.002,14282714112,0.019919999,0.08976,64367800000,0.769,6.945,0.00562,0.1762,0.01898,0,97028399104,0.01956,0.01898,0.167,0,10992600064,5.409,6000000000,717145178112,0.01956
ULTRACEMCO.NS,6493.15,-0.453,115679100928,0.25864,0.65529996,293088100000,1.168,49.658,0.06697,0.1277,0.122150004,0.341,125029498880,0.19827,0.122150004,0.844,1550.597,148010696704,513.093,219390099456,447258001408,0.19827
ICICIBANK.NS,618.55,2.691,0,0,0,1023000000000,0,0,0.0138,0.13716,0.17971,0.366,-211402604544,0.25443,0.17971,0,151.689,463021998080,66.939,1438999379968,1022999986176,0.25443
SHREECEM.NS,27289.9,0.997,44972548096,0.35449,0.71989,88770600000,0,13.335,0,0,0.15949,0.126,0,0.19530001,0.15949,0,3516.294,42136100864,1167.831,18681600000,126865899520,0.19530001
BAJFINANCE.NS,5402.25,0.417,0,0,0.92781997,160225700000,5.533,287.065,0.02631,0.12765001,0.25594,-0.004,-8809499648,0.34699002,0.25594,5.513,287.491,21761800192,36.199,1059798188032,172690505728,0.34699002
CIPLA.NS,879,1.129,39357550592,0.20849001,0.60933,109324900000,0,18.282,0,0,0.11852,0.182,0,0.16157,0.11852,0,234.11,41138798592,51.012,31693000704,188778692608,0.16157
BAJAJ-AUTO.NS,3883.9,0.145,62011400192,0.21370001,0.32464,94201600000,2.514,0,0.12356,0.19850999,0.16738,0.243,31198799872,0.20476,0.16738,2.039,1003.093,87904796672,303.73,0,290175385600,0.20476
KOTAKBANK.NS,1733,0.361,0,0,0,404774900000,0,0,0.02167,0.13147001,0.24681,0.697,-135900602368,0.32533002,0.24681,0,204.733,366781792256,182.306,477388996608,404774912000,0.32533002
TATACONSUM.NS,650.25,-0.298,15437599744,0.13306,0.40508,46997200000,2.278,7.343,0.04157,0.060949996,0.07384,-0.23,16563699712,0.111099996,0.07384,1.382,125.949,35143901184,37.817,11475099648,116020297728,0.111099996
TECHM.NS,951.05,0.342,68470001664,0.18087,0.35883,135835000000,2.457,11.368,0.08745,0.18347,0.116969995,0.025,80938000384,0.14237,0.116969995,2.17,432.923,158252007424,181.022,28697999360,378551009280,0.14237
TCS.NS,3049.25,0.164,465460002816,0.28351,0.43186,709010000000,2.907,8.949,0.21101,0.37894002,0.19753,0.094,388020011008,0.25875,0.19753,2.242,438.97,398830010368,107.792,77950001152,1641769992192,0.25875
MARUTI.NS,6765.1,-0.061,53516001280,0.07605,0.27881,196207000000,1.15,1.025,0.021470001,0.08612,0.06237,0.32,88561999872,0.03293,0.06237,0.83,2329.647,121055002624,400.786,5382000128,703719997440,0.03293
NTPC.NS,110.5,0.187,354387460096,0.31693,0.46137002,470794800000,0,156.705,0,0,0.10399,0.083,0,0.21783,0.10399,0,113.031,214992699392,21.748,1971987152896,1118190567424,0.21783
BRITANNIA.NS,3507.55,-0.03,25092900864,0.19102,0.41946,55100400000,1.223,58.236,0.18228,0.46135,0.14189,0.103,18510700544,0.17596,0.14189,0.625,545.701,16045899776,66.638,20871700480,131361398784,0.17596
WIPRO.NS,500.7,0.321,139112005632,0.22458,0.31678,196225000000,2.274,18.845,0.0911,0.19510001,0.17427,0.034,147549995008,0.19395,0.17427,2.136,109.648,345503989760,62.701,104514002944,619430019072,0.19395
ONGC.NS,113.2,-0.462,401773887488,0.12453,0.21114999,746409520000,0,45.237,0,0,0.00281,-0.084,0,0.04206,0.00281,0,256.399,250337001472,19.889,1039491203072,3226197295104,0.04206
LT.NS,1386.4,0.048,167887175680,0.12417,0.37175998,498203600000,0,180.349,0,0,0.084960006,-0.002,0,0.1086,0.084960006,0,962.948,511498289152,364.332,1487898935296,1352113061888,0.1086
INDUSINDBK.NS,930.4,1.661,0,0,0,120862400000,0,0,0.00874,0.074889995,0.24243,0.346,-88673902592,0.32512,0.24243,0,165.118,566098984960,740.154,513228111872,120862400512,0.32512
NESTLEIND.NS,17078.85,0.146,31461449728,0.23111999,0.57289004,75572000000,0,7.308,0,0,0.15862,0.086,0,0.20833999,0.15862,0,1411.794,24794400768,257.161,1475800064,136123596800,0.20833999
GRASIM.NS,1394.45,1.033,170829447168,0.23136999,0.60869,440762300000,0,71.583,0,0,0.055859998,0.093,0,0.17794001,0.055859998,0,1124.606,202588405760,308.429,683943788544,738328313856,0.17794001
TATASTEEL.NS,1124,0,305042587648,0.19517,0.63569,993540300000,0.85,105.667,0.05362,0.10659,0.04792,0.48,443266793472,0.13609,0.04792,0.34,1330.861,144220405760,124.877,819009028096,1562941849600,0.13609
HINDALCO.NS,380.05,0.769,147357499392,0.12199,0.34035,380450000000,0,132.531,0,0,0.01841,0.197,0,0.08167,0.01841,0,543.043,211829997568,95.25,790509977600,1207959945216,0.08167
COALINDIA.NS,144.85,-0.214,193169129472,0.22236,0.82045996,774330500000,1.726,12.831,0,0.5069,0.14678,0.007,0,0.17722,0.14678,1.23,140.904,226817900544,36.83,48089800704,868735778816,0.17722
3IINFOTECH.BO,9.84,0,0,0,0,3111600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFCL.NS,42.2,12.912,5495799808,0.12425999,0.23040001,10190400000,1.389,44.744,0.06647,0.13711001,0.05404,1.098,568200000,0.108739994,0.05404,0.986,34.421,3122299904,2.434,8606400512,44229599232,0.108739994
TRIDENT.NS,16.25,2.143,6839399936,0.16374001,0.55242,25538000000,0,27.921,0,0,0.06418,0.148,0,0.09422,0.06418,0,8.436,2045200000,0.401,8945500160,41768898560,0.09422
PNB.NS,37.5,0,0,0,0,125138300000,0,0,0.00112,0.015,0.0513,1.266,0,0.075830005,0.0513,0,23.133,343542497280,32.788,638774083584,202866704384,0.075830005
JPPOWER.NS,3.95,0,12311274496,0.38529998,0.45134,12555900000,0,54.775,0,0,-0.00551,0.184,0,0.21888,-0.00551,0,4.671,3430599936,0.502,55781801984,31952300032,0.21888
BHEL.NS,67.4,0,-25433600000,-0.16746001,0.17754,55153200000,0,17.842,0,0,-0.21035999,-0.216,0,-0.19274001,-0.21035999,0,45.846,62609301504,18.14,48476299264,151880302592,-0.19274001
IDEA.NS,8.55,0,130916253696,0.29705998,0.43977,176584000000,0.237,0,-0.01947,0,-1.10852,-0.017,0,-0.15787,-1.10852,0.079,15.337,18672001024,0.65,1173702049792,440710987776,-0.15787
YESBANK.NS,13.35,0,0,0,0,11555300000,0,0,-0.01313,-0.12726,0,0,-74107699200,-4.12086,0,0,0.546,293252497408,12.127,639490785280,11555300352,-4.12086
BAJAJHIND.NS,12.7,0,1702574976,0.02607,0.14425,10794500000,0,223.728,0,0,-0.04557,0.022,0,-0.0068800002,-0.04557,0,59.418,10631499776,9.652,55573901312,65307799552,-0.0068800002
BANKBARODA.NS,76.65,0,0,0,0,193423751000,0,0,0.00238,0.036140002,0.12314,0.964,0,0.07827,0.12314,0,48.312,328572698624,71.157,967981596672,223153651712,0.07827
SBIN.NS,377.95,-0.042,0,0,0,1499578133440,0,0,0,0.09302,0.14333999,0.018,0,0.1182,0.14333999,0,181.329,1176211816448,131.794,4307402620928,1617791680512,0.1182
SAIL.NS,125.3,0,130037301248,0.20974001,0.6208,363067600000,0,116.772,0,0,0.053639997,0.199,0,0.15061,0.053639997,0,149.561,26370500608,6.384,474542899200,620005490688,0.15061
RENUKA.NS,15.45,0,4797037568,0.08328,0.19305,8088870000,0,0,0,0,-0.037609998,0.394,0,0.05174,-0.037609998,0,28.888,4585999872,2.144,29078999040,57599950848,0.05174
ITC.NS,213.05,-0.111,167162068992,0.35785,0.59888,313506700000,0,0.488,0,0,0.28391,-0.017,0,0.322,0.28391,0,37.988,206416297984,16.799,2907300096,467126714368,0.322
UPL.NS,775.5,0.133,71622500352,0.19337,0.49407002,166970000000,0,144.767,0,0,0.06547,0.026,0,0.15432,0.06547,0,484.799,85170003968,111.343,323640000512,370390007808,0.15432
RPOWER.NS,6.7,0.057,31699875840,0.39244998,0.65252995,49515800000,0,154.672,0,0,-0.50154,0.137,0,0.27427,-0.50154,0,28.77,17010499584,6.051,220771696640,80774897664,0.27427
TATAMOTORS.NS,318.85,0,84853571584,0.037839998,0.4291,1117557400000,0,221.715,0,-0.29879,-0.07018,0.055,0,-0.0043599997,-0.07018,0,585.75,425674113024,111.177,1153739522048,2242724495360,-0.0043599997
TATAPOWER.NS,103.1,0.3,69179596800,0.23887,0.36305,108878700000,0,179.588,0,0,0.03926,0.075,0,0.15227,0.03926,0,102.231,64598700032,16.917,440705089536,289615085568,0.15227
NATIONALUM.NS,71.6,0,10446550016,0.12945,0.56213003,43018000000,0,0.874,0,0,0.05752,0.139,0,0.05984,0.05752,0,43.521,24698800128,13.189,883800000,80701702144,0.05984
GLENMARK.NS,601.35,0.302,16610092032,0.15307,0.64184,67922420000,0,45.553,0,0,0.088149995,0.019,0,0.14458999,0.088149995,0,384.6,10279300096,36.449,29586159616,108515180544,0.14458999
BIOCON.NS,386.75,1.042,16526000128,0.23256999,0.6892,48973000000,1.805,43.235,0.035550002,0.10772,0.10421,0.163,11596999680,0.13193,0.10421,1.243,59.879,40169000960,33.791,36783001600,71057997824,0.13193
RELIANCE.NS,1948.95,1.011,807370031104,0.17291,0.37313,1742230000000,1.344,27.99,0.02722,0.08525,0.105220005,0.093,261850005504,0.116000004,0.105220005,0.901,725.838,2309670043648,358.316,2237639950336,4669240246272,0.116000004
