Name,CurrentRatio,DebToEQRatio,Return On Assets,Return on Earning,Net Profit,RevenueGrowth(yoy)
AER,1.56,312.14,3.12%,-3.72%,-7.98%,-11.50%
AE,1.52,16.20,3.91%,10.49%,1.53%,-7.90%
RHHBY,1.30,38.75,14.55%,39.84%,23.69%,-6.40%
TITAN.NS,1.71,75.06,5.62%,13.74%,4.49%,59.10%
BHARTIARTL.NS,0.46,203.21,2.88%,-32.41%,-20.89%,22.70%
TECHM.NS,2.46,11.37,8.74%,18.35%,11.70%,2.50%
TINPLATE.NS,1.91,1.58,6.84%,12.22%,4.30%,58.80%
TITAN.NS,1.71,75.06,5.62%,13.74%,4.49%,59.10%
HDFCLIFE.NS,0.77,6.95,0.56%,17.62%,1.90%,0
ULTRACEMCO.NS,1.17,49.66,6.70%,12.77%,12.22%,34.10%
ICICIBANK.NS,0,0,1.38%,13.72%,17.97%,36.60%
SHREECEM.NS,0,13.34,0,0,15.95%,12.60%
BAJFINANCE.NS,5.53,287.07,2.63%,12.77%,25.59%,-0.40%
CIPLA.NS,0,18.28,0,0,11.85%,18.20%
BAJAJ-AUTO.NS,2.51,0,12.36%,19.85%,16.74%,24.30%
KOTAKBANK.NS,0,0,2.17%,13.15%,24.68%,69.70%
TATACONSUM.NS,2.28,7.34,4.16%,6.09%,7.38%,-23.00%
TECHM.NS,2.46,11.37,8.74%,18.35%,11.70%,2.50%
TCS.NS,2.91,8.95,21.10%,37.89%,19.75%,9.40%
MARUTI.NS,1.15,1.02,2.15%,8.61%,6.24%,32.00%
NTPC.NS,0,156.71,0,0,10.40%,8.30%
BRITANNIA.NS,1.22,58.24,18.23%,46.13%,14.19%,10.30%
WIPRO.NS,2.27,18.84,9.11%,19.51%,17.43%,3.40%
ONGC.NS,0,45.24,0,0,0.28%,-8.40%
LT.NS,0,180.35,0,0,8.50%,-0.20%
INDUSINDBK.NS,0,0,0.87%,7.49%,24.24%,34.60%
NESTLEIND.NS,0,7.31,0,0,15.86%,8.60%
GRASIM.NS,0,71.58,0,0,5.59%,9.30%
TATASTEEL.NS,0.85,105.67,5.36%,10.66%,4.79%,48.00%
HINDALCO.NS,0,132.53,0,0,1.84%,19.70%
COALINDIA.NS,1.73,12.83,0,50.69%,14.68%,0.70%
3IINFOTECH.BO,0,0,0,0,0,0
HFCL.NS,1.39,44.74,6.65%,13.71%,5.40%,109.80%
TRIDENT.NS,0,27.92,0,0,6.42%,14.80%
PNB.NS,0,0,0.11%,1.50%,5.13%,126.60%
JPPOWER.NS,0,54.78,0,0,-0.55%,18.40%
BHEL.NS,0,17.84,0,0,-21.04%,-21.60%
IDEA.NS,0.24,0,-1.95%,0,-110.85%,-1.70%
YESBANK.NS,0,0,-1.31%,-12.73%,0.00%,0
BAJAJHIND.NS,0,223.73,0,0,-4.56%,2.20%
BANKBARODA.NS,0,0,0.24%,3.61%,12.31%,96.40%
SBIN.NS,0,0,0,9.30%,14.33%,1.80%
SAIL.NS,0,116.77,0,0,5.36%,19.90%
RENUKA.NS,0,0,0,0,-3.76%,39.40%
ITC.NS,0,0.49,0,0,28.39%,-1.70%
UPL.NS,0,144.77,0,0,6.55%,2.60%
RPOWER.NS,0,154.67,0,0,-50.15%,13.70%
TATAMOTORS.NS,0,221.71,0,-29.88%,-7.02%,5.50%
TATAPOWER.NS,0,179.59,0,0,3.93%,7.50%
NATIONALUM.NS,0,0.87,0,0,5.75%,13.90%
GLENMARK.NS,0,45.55,0,0,8.81%,1.90%
BIOCON.NS,1.80,43.24,3.56%,10.77%,10.42%,16.30%
RELIANCE.NS,1.34,27.99,2.72%,8.52%,10.52%,9.30%
ALKYLAMINE.NS,0,5.47,0,0,23.02%,26.10%
MARKSANS.NS,0,5.28,0,0,14.61%,24.60%
IBULHSGFIN.NS,0,459.20,0,0,45.44%,-43.20%
MRF.NS,0,17.94,0,0,10.77%,13.90%
MARICO.NS,1.66,14.43,17.27%,38.10%,14.56%,34.50%
TATACONSUM.NS,2.28,7.34,4.16%,6.09%,7.38%,-23.00%
BAJFINANCE.NS,5.53,287.07,2.63%,12.77%,25.59%,-0.40%
GICHSGFIN.NS,0,956.13,0,0,13.54%,39.40%
UNIONBANK.NS,0,0,-0.14%,-2.19%,-7.90%,98.10%
BANKBARODA.NS,0,0,0.24%,3.61%,12.31%,96.40%
RBLBANK.NS,0,0,0.56%,4.56%,13.99%,-6.00%
FEDERALBNK.NS,0,0,0,0,25.41%,7.30%
BANDHANBNK.NS,0,0,2.13%,13.53%,38.25%,-29.80%
AXISBANK.NS,0,0,0.75%,7.63%,24.88%,0
ICICIBANK.NS,0,0,1.38%,13.72%,17.97%,36.60%
KOTAKBANK.NS,0,0,2.17%,13.15%,24.68%,69.70%
HDFCBANK.NS,0,0,1.89%,16.45%,40.92%,13.70%
ZEEL.NS,4.54,8.39,0,-2.54%,-3.14%,33.20%
APOLLO.NS,0,36.48,0,0,4.31%,-50.80%
BALAJITELE.NS,0,2.03,0,0,-30.30%,-43.80%
BANKINDIA.NS,0,0,-0.24%,-3.34%,-18.98%,45.60%
BFUTILITIE.NS,0,0,0,0,-4.49%,2.40%
BHEL.NS,0,17.84,0,0,-21.04%,-21.60%
BPCL.NS,0,115.67,0,0,1.81%,-11.90%
CADILAHC.NS,0,41.39,0,0,12.30%,4.30%
CANBK.NS,0,0,0,0,-6.20%,83.90%
COFORGE.NS,2.53,0.02,10.71%,19.17%,9.77%,13.70%
DAAWAT.NS,0,80.30,0,0,5.78%,7.90%
DELTACORP.NS,4.67,1.43,-1.15%,-1.31%,-5.75%,16.80%
DIVISLAB.NS,0,0.06,0,0,28.47%,21.90%
DLF.NS,0,0,0,0,-23.08%,15.00%
DLINKINDIA.NS,0,3.54,0,0,4.48%,3.70%
EIHOTEL.NS,1.12,13.94,-5.34%,-11.67%,-68.68%,-46.00%
GILLETTE.NS,0,0.01,0,0,17.04%,32.00%
GLOBUSSPR.NS,0,37.71,0,0,9.57%,-3.60%
GNA.NS,1.76,38.06,7.24%,14.65%,7.94%,102.10%
GSFC.NS,0,7.47,0,0,4.67%,18.70%
GUJGASLTD.NS,0,38.55,0,0,12.95%,12.90%
HEROMOTOCO.NS,1.75,3.68,9.89%,19.50%,9.43%,37.20%
IGL.NS,0,1.53,0,0,22.02%,-13.10%
IOC.NS,0,92.80,0,0,1.32%,-17.70%
IOLCP.NS,0,2.24,0,0,23.59%,0.30%
IRCTC.NS,0,0,0,0,22.96%,-68.70%
JAICORPLTD.NS,0,15.19,0,0,16.37%,-11.90%
LT.NS,0,180.35,0,0,8.50%,-0.20%
LUPIN.NS,1.66,22.12,4.32%,9.29%,8.02%,-1.60%
NTPC.NS,0,156.71,0,0,10.40%,8.30%
PVR.NS,0.51,391.15,0,0,-71.69%,-95.00%
SBILIFE.NS,1.69,0,0.52%,15.21%,1.77%,286.00%
SUNTV.NS,0,0,0,0,40.94%,17.30%
